provider_id,provider_name,specialty,state
PRV-0001,Monica Herrera,chiropractic,NY
PRV-0002,Jamie Arnold,pain_management,CT
PRV-0003,Lisa Hensley,physical_therapy,FL
PRV-0004,Michele Williams,pain_management,PA
PRV-0005,Dylan Miller,pain_management,MA
PRV-0006,Brian Ramirez,physical_therapy,NJ
PRV-0007,Holly Wood,orthopedics,NJ
PRV-0008,Derek Zuniga,chiropractic,MA
PRV-0009,Lisa Jackson,orthopedics,CT
PRV-0010,Carla Gray,orthopedics,FL
PRV-0011,Margaret Hawkins DDS,ambulance,PA
PRV-0012,Patty Perez,chiropractic,FL
PRV-0013,Ethan Adams,pain_management,NJ
PRV-0014,Tommy Walter,pain_management,MA
PRV-0015,Matthew Foster,chiropractic,NJ
PRV-0016,Judy Baker,chiropractic,MA
PRV-0017,Justin Baker,ambulance,FL
PRV-0018,Stephanie Ross,orthopedics,NJ
PRV-0019,Zachary Hicks,physical_therapy,FL
PRV-0020,Anthony Rodriguez,neurology,CT
PRV-0021,Rebecca Henderson,neurology,FL
PRV-0022,James Ferrell,physical_therapy,PA
PRV-0023,Tricia Valencia,orthopedics,FL
PRV-0024,Nathan Maldonado,neurology,FL
PRV-0025,Debra Davidson,orthopedics,MA
PRV-0026,Jeffrey Chavez,physical_therapy,NJ
PRV-0027,Sherri Baker,ambulance,NY
PRV-0028,Cassandra Gaines,pain_management,NJ
PRV-0029,Elizabeth Fowler,physical_therapy,PA
PRV-0030,Brittany Farmer,neurology,NJ
PRV-0031,Paula Moreno,physical_therapy,CT
PRV-0032,Fred Smith,pain_management,CT
PRV-0033,Sherry Decker,ambulance,PA
PRV-0034,Anthony Humphrey,orthopedics,NY
PRV-0035,Angelica Tucker,pain_management,MA
PRV-0036,Philip Cannon,chiropractic,NY
PRV-0037,John Pierce,neurology,MA
PRV-0038,Shane Henderson,ambulance,PA
PRV-0039,Joshua Blair,pain_management,CT
PRV-0040,Eric Carney,chiropractic,MA
PRV-0041,Jessica Holmes,neurology,NJ
PRV-0042,Danny Morgan,neurology,NJ
PRV-0043,Crystal Robinson,ambulance,MA
PRV-0044,Mark Perez,neurology,NJ
PRV-0045,Shannon Jones,pain_management,CT
PRV-0046,Michael Lewis,chiropractic,NJ
PRV-0047,Timothy Duncan,neurology,NY
PRV-0048,Richard Aguirre,physical_therapy,NY
PRV-0049,Brent Jordan,pain_management,CT
PRV-0050,John Daniel,chiropractic,PA
PRV-0051,Victoria Garcia,chiropractic,NJ
PRV-0052,Gerald Hensley,orthopedics,NY
PRV-0053,Connor West,pain_management,MA
PRV-0054,Donald Wright,neurology,MA
PRV-0055,Jessica Callahan,pain_management,NY
PRV-0056,Amber Kidd,neurology,CT
PRV-0057,Tracy House,physical_therapy,CT
PRV-0058,Carol Tucker,ambulance,CT
PRV-0059,James Brown,neurology,FL
PRV-0060,William Baker,orthopedics,FL
PRV-0061,Jordan Henderson,neurology,CT
PRV-0062,Whitney Peters,ambulance,NY
PRV-0063,Brittney Phillips,chiropractic,CT
PRV-0064,Lauren Daniels,pain_management,NY
PRV-0065,Amy Silva,chiropractic,FL
PRV-0066,Sarah Moore,chiropractic,MA
PRV-0067,Angela Lopez,orthopedics,NY
PRV-0068,Megan Young,orthopedics,NY
PRV-0069,Steve Sanchez,pain_management,CT
PRV-0070,Lisa Barnes,pain_management,PA
PRV-0071,Kelly Donovan,ambulance,MA
PRV-0072,Mike Allen,neurology,PA
PRV-0073,Michael Evans,ambulance,FL
PRV-0074,Paul Jones,chiropractic,FL
PRV-0075,Zachary Ferrell,chiropractic,FL
PRV-0076,Daniel Baker,orthopedics,MA
PRV-0077,Shirley Suarez,physical_therapy,CT
PRV-0078,Christopher Bass,ambulance,NY
PRV-0079,Lisa Archer,orthopedics,MA
PRV-0080,Aimee Montoya,ambulance,CT
PRV-0081,Matthew Mcmillan,chiropractic,CT
PRV-0082,Brian Rodriguez,chiropractic,NY
PRV-0083,Denise Jacobs,physical_therapy,PA
PRV-0084,Christina Walters,physical_therapy,MA
PRV-0085,John Whitehead,physical_therapy,PA
PRV-0086,Anna Henderson,orthopedics,PA
PRV-0087,Aaron Wise,orthopedics,FL
PRV-0088,Deborah Figueroa,pain_management,PA
PRV-0089,Jessica Smith,physical_therapy,NY
PRV-0090,Stephen Mckee,chiropractic,CT
PRV-0091,Sandra Aguilar,chiropractic,MA
PRV-0092,Cameron Parker,chiropractic,CT
PRV-0093,Rebecca Valencia,pain_management,CT
PRV-0094,Christine Wright,chiropractic,MA
PRV-0095,Richard Henson,pain_management,NY
PRV-0096,Marc Moore,ambulance,CT
PRV-0097,Sharon Cherry,physical_therapy,MA
PRV-0098,Sierra Johnson,pain_management,FL
PRV-0099,Evelyn Galvan,pain_management,NJ
PRV-0100,Sharon Cochran,orthopedics,FL
PRV-0101,Richard Rodriguez,orthopedics,PA
PRV-0102,Shannon Walker,physical_therapy,NJ
PRV-0103,Julia Torres,ambulance,MA
PRV-0104,Crystal Johnson,chiropractic,CT
PRV-0105,Garrett Lin,chiropractic,NY
PRV-0106,Diana May,pain_management,NJ
PRV-0107,William Herrera,chiropractic,NJ
PRV-0108,Ashley Waller,orthopedics,CT
PRV-0109,Victor Baker,neurology,FL
PRV-0110,Jeffrey Chandler,,CT
PRV-0111,Larry Dixon,orthopedics,MA
PRV-0112,Kenneth Scott,physical_therapy,MA
PRV-0113,April Frost,neurology,NJ
PRV-0114,Michelle Harmon,orthopedics,FL
PRV-0115,Helen Jones,orthopedics,FL
PRV-0116,Erin Edwards,orthopedics,NJ
PRV-0117,Michelle Evans,chiropractic,PA
PRV-0118,Jason Powell,,NJ
PRV-0119,Cameron Fisher,physical_therapy,NJ
PRV-0120,Megan Orr,physical_therapy,CT
PRV-0121,Elizabeth Kelley,neurology,MA
PRV-0122,Dustin Jordan,chiropractic,FL
PRV-0123,Mary Marshall,physical_therapy,NJ
PRV-0124,Daniel Kennedy,pain_management,PA
PRV-0125,Rebecca Jackson,,NJ
PRV-0126,Jose Schultz,chiropractic,NY
PRV-0127,Robert Potter,neurology,MA
PRV-0128,Courtney Gonzalez,orthopedics,PA
PRV-0129,David Alvarez,pain_management,NY
PRV-0130,Angel Perry,physical_therapy,NY
PRV-0131,Cheyenne Horton,,FL
PRV-0132,David Douglas Jr.,orthopedics,PA
PRV-0133,Patricia Rodriguez,neurology,NY
PRV-0134,Christopher Rubio,orthopedics,FL
PRV-0135,Amber Wright,chiropractic,MA
PRV-0136,Joyce Solis,ambulance,PA
PRV-0137,Victoria Larson,orthopedics,NY
PRV-0138,Stephanie Salazar,,NY
PRV-0139,Kathy Rivas,ambulance,MA
PRV-0140,Stephanie Manning,orthopedics,CT
PRV-0141,David Wright,ambulance,CT
PRV-0142,Pamela Boyd,orthopedics,MA
PRV-0143,Denise Jones,orthopedics,NJ
PRV-0144,Devon Flores,chiropractic,PA
PRV-0145,Brenda Hall,orthopedics,NJ
PRV-0146,Michelle Brown,ambulance,CT
PRV-0147,Joshua Perry,chiropractic,CT
PRV-0148,Jason Stein,physical_therapy,FL
PRV-0149,Melissa Gates,,CT
PRV-0150,Jamie Smith,neurology,FL
PRV-0151,Paul Castaneda,neurology,NJ
PRV-0152,Jennifer Adkins,ambulance,FL
PRV-0153,Lindsey Walker,orthopedics,FL
PRV-0154,Jeffrey Johnson,chiropractic,NJ
PRV-0155,Michael Powell,pain_management,PA
PRV-0156,John Anderson,orthopedics,NJ
PRV-0157,Alyssa Long,pain_management,PA
PRV-0158,Alyssa Day,neurology,FL
PRV-0159,Joel Williams,neurology,CT
PRV-0160,Daniel Murphy,pain_management,CT
PRV-0161,Jamie Walton,chiropractic,NY
PRV-0162,Darlene Miller,ambulance,CT
PRV-0163,Joshua Cooke,neurology,PA
PRV-0164,Matthew Harrington,ambulance,CT
PRV-0165,Nicole Herring,ambulance,FL
PRV-0166,Alex Hernandez,physical_therapy,NJ
PRV-0167,Michael Elliott,pain_management,CT
PRV-0168,Michael Wang,orthopedics,NY
PRV-0169,Lawrence Adkins,neurology,NY
PRV-0170,Robert Oconnell,,NY
PRV-0171,Alexander Collins,ambulance,MA
PRV-0172,Tina Sanders,ambulance,FL
PRV-0173,Angela Vaughn,pain_management,FL
PRV-0174,Ashley Barton,ambulance,NY
PRV-0175,Lindsay Martinez,physical_therapy,MA
PRV-0176,Dr. Hannah Patterson,chiropractic,NY
PRV-0177,Jonathan Peterson,physical_therapy,FL
PRV-0178,Samantha Garcia,pain_management,CT
PRV-0179,Madison Poole,physical_therapy,MA
PRV-0180,Jessica Gross,ambulance,PA
PRV-0181,Debra Morton,neurology,CT
PRV-0182,Karen Graham,pain_management,PA
PRV-0183,Debra Christian,pain_management,CT
PRV-0184,Angelica Keith,ambulance,CT
PRV-0185,John Bishop,ambulance,FL
PRV-0186,Allen Rosales,ambulance,NY
PRV-0187,Daniel Salinas,neurology,CT
PRV-0188,Spencer Haynes,ambulance,NJ
PRV-0189,Adam Vaughan,ambulance,NJ
PRV-0190,Nathan Freeman,physical_therapy,NJ
PRV-0191,Melissa Brewer,pain_management,NY
PRV-0192,Ricky Davis II,physical_therapy,NY
PRV-0193,Elizabeth Perkins,neurology,PA
PRV-0194,Joseph Coleman,ambulance,PA
PRV-0195,Erin Warner,ambulance,PA
PRV-0196,David Martinez,ambulance,CT
PRV-0197,Bryan Herrera,,CT
PRV-0198,Cathy Robinson,ambulance,NJ
PRV-0199,Dr. William Warren,orthopedics,PA
PRV-0200,Brian Lee,pain_management,CT
PRV-DUP-01,Michael  Powell,pain_management,PA
PRV-DUP-02,Tracy  House,physical_therapy,CT
PRV-DUP-03,Rebecca  Jackson,,NJ
PRV-DUP-04,Tracy  House,physical_therapy,CT
PRV-DUP-05,Lisa  Barnes,pain_management,PA
PRV-DUP-06,Kenneth  Scott,physical_therapy,MA
PRV-DUP-07,Rebecca  Jackson,,NJ
PRV-DUP-08,Derek  Zuniga,chiropractic,MA
